Sample	Region	Sex	Platform	Population	PC1	PC2	PC3	PC4	PC5	Longitude-E	Latitude-N	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
Adana23133	Eurasia-SW	F	Affy Human Origins	Turkish_Adana	-0.00554646	-0.0088226	0.00501971	0.00240749	-0.000644673	35.5	37	0.00161421	0.00816146	-0.0156604	0.00255266	-0.000326411	-0.0115211	0.000243967	0.000349162	-0.00380129	1.27E-05	8.64E-05	0.00128976	8.21E-05	-0.0018219	-0.00151497
Adana23136	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.0051642	-0.010714	0.00593054	0.00255002	-0.00189161	35.5	37	0.00232933	0.0128039	-0.0220078	0.00365062	1.90E-05	-0.0106409	-0.000452739	-0.000811369	-0.00536796	0.000205141	0.00102236	0.00034872	-3.24E-08	-0.000353159	-0.00197789
Adana23147	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.0053004	-0.00971706	0.00474135	0.000815319	-0.00164536	35.5	37	0.002177	0.00877505	-0.0153772	0.00299091	-0.000791692	-0.0076402	0.000620237	-0.00165073	-0.00319828	0.000429092	0.000773502	-0.000201116	0.000757491	-0.00090806	-0.000439723
Adana23150	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.00576137	-0.00871874	0.00365527	0.000925658	-0.000398043	35.5	37	0.0012157	0.00668332	-0.0114313	0.00275606	0.000324547	-0.00784759	-0.000627308	-0.00114831	-0.00382316	-1.37E-05	0.00124406	-0.00133057	-0.000809986	-0.000113625	-0.00101303
ADR00057	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00671416	0.020476	-0.0207302	0.00476965	-0.00095417	188	66	-0.00108696	-0.0057293	0.0183344	-0.00887168	-0.00454584	-0.063865	-0.0164062	-0.0221742	-0.00394603	-6.86E-06	3.07E-07	-0.00015097	0.000673609	-0.000504743	-0.000248977
ADR00059	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00675078	0.0208278	-0.0220407	0.00485532	-0.000278338	188	66	-0.00138596	-0.00519493	0.0167934	-0.00795513	-0.0047381	-0.0593128	-0.0137906	-0.0181523	-0.00318128	-0.000586323	0.000420921	8.86E-05	0.000871108	0.000101123	-0.000459027
ADR00060	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00688754	0.0220817	-0.0180903	0.000940013	-1.01E-05	188	66	-0.00170045	-0.00573213	0.0197672	-0.00931581	-0.00603611	-0.0720756	-0.0175294	-0.0234274	-0.00419847	0.000157112	0.000366237	9.88E-05	0.000551477	-0.000249267	-9.18E-05
ADR00061	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00670458	0.0213225	-0.0206031	0.00304924	-0.000134746	188	66	-0.0012783	-0.00626553	0.0200094	-0.00931168	-0.00532474	-0.0644182	-0.018156	-0.0229963	-0.00352406	-0.000638304	-0.000153737	0.000811161	-0.000433299	0.000182787	-0.000853151
ADR00064	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00667015	0.0207858	-0.021446	0.00296787	-0.00124375	188	66	-0.000926125	-0.00529587	0.0180301	-0.00835243	-0.00458589	-0.0591643	-0.0152007	-0.0195404	-0.00290894	-0.000102143	0.000231242	0.000527739	0.000170876	-0.000208351	0.000427968
ADR00065	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00671968	0.0207438	-0.0190635	0.00240981	-0.00056907	188	66	-0.00128449	-0.00576132	0.018824	-0.0085265	-0.00548421	-0.0643239	-0.016238	-0.022511	-0.00275238	-0.000176175	0.000215136	-0.00011626	0.000611015	-0.000582786	-0.000649267
ADR00066	Eurasia-NE	F	Affy Human Origins	Chukchi	-0.00666071	0.0209456	-0.019673	0.00373942	-0.000524012	188	66	-0.00078594	-0.00548766	0.0176502	-0.00783915	-0.0054355	-0.059163	-0.0139009	-0.018608	-0.00246576	-0.000895654	0.000366661	0.00037714	0.000524413	-0.000211188	-0.000469392
ADR00068	Eurasia-NE	F	Affy Human Origins	Chukchi	-0.00673614	0.0206819	-0.0195349	0.00251512	-0.000814233	188	66	-0.00128077	-0.0062262	0.0190336	-0.00932137	-0.00551343	-0.0626103	-0.0143985	-0.0192926	-0.00340383	-0.000266225	0.000507833	0.000365697	0.00065975	0.000179971	-0.000324295
ADR00074	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00659685	0.0223327	-0.0205764	0.00342377	-0.00110104	188	66	-0.0011735	-0.00570655	0.0194637	-0.00978833	-0.00565084	-0.0655796	-0.0160208	-0.0211779	-0.0034925	-0.000724759	-0.000434987	0.000823644	2.71E-05	-0.000343888	-0.000585452
ADR00079	Eurasia-NE	M	Affy Human Origins	Chukchi	-0.00675307	0.0202488	-0.0207119	0.00404262	-0.000197998	188	66	-0.00098715	-0.00571465	0.0191429	-0.00853625	-0.00469566	-0.0626706	-0.0143891	-0.0199377	-0.00213079	-0.000136647	0.000568179	0.000667044	0.0011166	-0.000140957	-0.000185122
ADR00089	Eurasia-NE	M	Affy Human Origins	Eskimo_Naukan	-0.00666774	0.0204428	-0.0272554	0.00768509	-0.000642172	189	66.5	-0.000480096	-0.00530027	0.0167818	-0.00760772	-0.00401445	-0.0527666	-0.0131506	-0.018064	-0.00255136	0.00010585	-0.000330152	-0.000263625	0.000807662	5.12E-05	-0.000163672
ADR00090	Eurasia-NE	M	Affy Human Origins	Eskimo_Naukan	-0.00667055	0.0198919	-0.0278243	0.00899083	-0.000700018	189	66.5	-0.0008034	-0.00491553	0.0176524	-0.00770295	-0.00436325	-0.0536855	-0.0145673	-0.0183352	-0.00240846	2.29E-06	-0.00012192	-0.000205048	0.000247356	0.00100634	0.00105578
ADR00092	Eurasia-NE	M	Affy Human Origins	Eskimo_Naukan	-0.0068019	0.0203773	-0.0280076	0.00915261	-0.000278782	189	66.5	-0.00120719	-0.00489399	0.0166208	-0.00774754	-0.00484983	-0.0559209	-0.0134589	-0.0180077	-0.00273611	0.000542896	0.000268628	0.000260794	0.00124309	0.000129714	-0.000268496
ADR00093	Eurasia-NE	M	Affy Human Origins	Eskimo_Naukan	-0.00671898	0.0205779	-0.0263828	0.00784564	-0.000163621	189	66.5	-0.000851659	-0.00438429	0.0144414	-0.00634204	-0.00414991	-0.0491476	-0.0125408	-0.0163643	-0.00303132	0.00035102	0.000168047	0.000271169	0.000679335	-0.00038527	0.000593576
ADR00096	Eurasia-NE	F	Affy Human Origins	Eskimo_Naukan	-0.00673414	0.0201848	-0.0266636	0.00931682	-4.77E-05	189	66.5	-0.0010166	-0.00484282	0.015525	-0.00729497	-0.00388498	-0.0515577	-0.0137495	-0.0177216	-0.00214657	-0.000146058	-0.000221253	-3.53E-06	0.000838433	2.77E-05	-0.000163462
ADR00098	Eurasia-NE	F	Affy Human Origins	Eskimo_Naukan	-0.00677796	0.0208195	-0.0255718	0.00861216	-0.000101442	189	66.5	-0.00100449	-0.00499512	0.0164257	-0.00694489	-0.00470269	-0.0563089	-0.0131238	-0.016098	-0.00242971	0.000489244	0.000628634	1.83E-06	0.000947461	0.000466004	0.000912301
ADR00102	Eurasia-NE	F	Affy Human Origins	Eskimo_Naukan	-0.00667341	0.0212089	-0.0267157	0.00790993	-0.000649631	189	66.5	-0.000475291	-0.00502502	0.0170133	-0.00776343	-0.00508696	-0.0533883	-0.01241	-0.017699	-0.00272209	-0.000501077	0.00013413	-0.000213093	0.00114076	-1.38E-05	-2.09E-05
ADR00504	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00659037	0.0220529	-0.00785279	-0.00653892	-0.000385746	101.5	74.5	-0.0011471	-0.00743127	0.0211305	-0.00941428	-0.00602308	-0.0670636	-0.0156298	-0.0197505	-0.00318555	-0.00101488	0.000425971	0.000963802	0.00103632	0.000148194	-0.00052971
ADR00507	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00635959	0.0222017	-0.00773782	-0.00789202	-0.00154647	101.5	74.5	-0.000444808	-0.00738598	0.0213306	-0.00988486	-0.0059745	-0.0700828	-0.0152899	-0.0206607	-0.0026982	-0.000367866	-8.97E-05	-0.000387496	0.00105383	-0.000449757	-0.000151563
ADR00508	Eurasia-NC	F	Affy Human Origins	Nganasan	-0.00641693	0.0221752	-0.00817525	-0.00636173	-0.00101993	101.5	74.5	-0.00128246	-0.00802738	0.0224527	-0.00975812	-0.00566782	-0.0684461	-0.0157766	-0.0199298	-0.00247746	-4.02E-06	2.26E-05	0.000416237	0.000744635	0.000325055	-0.000249271
ADR00509	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00667594	0.0219511	-0.00870796	-0.00744353	-0.00122986	101.5	74.5	-0.00146727	-0.00750785	0.0220444	-0.00994659	-0.00605959	-0.068506	-0.0145468	-0.0193821	-0.00331327	-0.000278365	0.000461032	0.000375012	0.000590996	1.95E-05	-0.000181692
ADR00510	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00659227	0.0232405	-0.00745835	-0.00711867	-0.000407635	101.5	74.5	-0.00110661	-0.00760106	0.0231964	-0.00998827	-0.00595382	-0.0725943	-0.0166096	-0.0211477	-0.00299972	-0.000152256	-8.28E-05	0.000512499	0.000589924	-3.74E-05	-5.31E-05
ADR00511	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00652899	0.0223931	-0.00858223	-0.00765919	-0.000881209	101.5	74.5	-0.00102509	-0.00816368	0.0242071	-0.0109283	-0.00625954	-0.0752772	-0.0173888	-0.0230608	-0.00326587	-0.000576542	-0.000287904	0.000783339	0.00117133	0.000407024	0.000174758
ADR00512	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00645151	0.0226193	-0.00839438	-0.00702748	-0.000963919	101.5	74.5	-0.00100196	-0.0078671	0.022772	-0.00994752	-0.00534535	-0.0698589	-0.0154549	-0.0190483	-0.00245769	-0.000165912	-0.000174638	0.000476858	0.00093945	-0.000106267	0.000110825
ADR00513	Eurasia-NC	M	Affy Human Origins	Nganasan	-0.00660403	0.0230544	-0.008346	-0.00749924	-0.00156802	101.5	74.5	-0.000702027	-0.00796095	0.0229599	-0.0104995	-0.0062477	-0.0757291	-0.0176702	-0.0231302	-0.00365008	-0.000380672	-8.18E-05	0.00111255	0.00143414	0.000160831	-0.00046739
ADR00514	Eurasia-NC	F	Affy Human Origins	Nganasan	-0.00663555	0.0213962	-0.00793828	-0.0065413	-0.000570172	101.5	74.5	-0.00164689	-0.00757355	0.0221852	-0.00959949	-0.00557481	-0.0655813	-0.0142704	-0.018851	-0.00261229	-0.000388786	8.27E-06	0.000477118	0.00137028	-2.00E-05	0.000228129
ADR00515	Eurasia-NC	F	Affy Human Origins	Nganasan	-0.00667243	0.0224658	-0.007304	-0.00784116	-0.00139269	101.5	74.5	-0.00145296	-0.0079284	0.0228997	-0.0100656	-0.00656325	-0.0722334	-0.014609	-0.0204515	-0.00321126	-0.000433811	-0.000326727	0.000366519	0.00107539	-0.000609713	-0.000572462
ALB191	Eurasia-SW	F	Affy Human Origins	Albanian	-0.00640066	-0.0120295	0.00163991	-0.00489756	-0.0010057	20	41	0.000698919	0.00123907	-0.00387345	0.000436077	-0.000334558	-0.0024559	-0.00244392	-0.00351887	-0.00146445	-0.000108298	-0.000387196	0.000854141	-0.000293228	-0.000879859	0.000195992
ALB202	Eurasia-SW	M	Affy Human Origins	Albanian	-0.00660776	-0.0111203	0.00117457	-0.00556658	-0.000170449	20	41	0.000862193	0.00275827	-0.006607	0.0013687	6.42E-05	-0.00294635	-0.00192387	-0.00102913	-0.00244677	0.000644371	0.000505484	-0.000301069	-0.000709587	-0.000929625	-0.00178187
ALB212	Eurasia-SW	F	Affy Human Origins	Albanian	-0.00638203	-0.0121728	0.00113907	-0.00525758	-0.00104232	20	41	0.00116019	0.00402646	-0.00994642	0.00191356	0.000798921	-0.000787661	-0.000500459	-0.00192015	-0.00168316	0.000590639	0.0004571	0.00119713	-8.56E-05	-0.0019113	-0.000569458
ALB213	Eurasia-SW	F	Affy Human Origins	Albanian	-0.00601434	-0.0118739	0.0014089	-0.00383873	-0.000784656	20	41	0.000879653	0.00434627	-0.00973797	0.00183342	0.000467041	-0.00256033	-0.000350629	-0.00186559	-0.00445337	0.0020937	-0.00104402	-0.00073591	0.000469236	-0.00126315	-6.83E-05
ALB230	Eurasia-SW	F	Affy Human Origins	Albanian	-0.00633645	-0.0117581	0.000887131	-0.00510087	-0.000968297	20	41	0.0011248	0.00305811	-0.00725893	0.0014584	0.0005896	-0.000859374	-0.000761291	-0.00260756	-0.00273926	0.000216181	-0.000689757	0.000214363	0.000185936	-0.000805761	-0.000223004
Algerian43A13	Eurasia-SW	M	Affy Human Origins	Algerian	0.00178031	-0.0098803	0.000794901	-0.00414448	-0.00493536	2	28	0.0109413	0.0287137	-0.039195	0.00631516	-3.29E-05	-0.0127014	-0.00870219	-0.00711075	0.00471418	-0.00382098	0.00162414	0.00189701	0.000783447	0.00608999	0.00148978
Algerian43A21	Eurasia-SW	F	Affy Human Origins	Algerian	0.00210788	-0.00939929	0.00303559	-0.00407523	-0.00538819	2	28	0.00604313	0.0224476	-0.0320775	0.00533055	-0.00257933	-0.00962687	-0.0058394	-0.00708079	0.000259247	-0.003097	0.00357215	-0.00114665	0.00208088	-0.00139877	-0.000309242
Algerian43A23	Eurasia-SW	F	Affy Human Origins	Algerian	0.00199665	-0.00949856	0.00302259	-0.00413314	-0.00574548	2	28	0.00965796	0.0280237	-0.0357141	0.00648489	-0.00134231	-0.0108088	-0.00591521	-0.00827356	0.00126701	-0.00173575	-0.00177295	-0.000450164	0.00149094	0.00423577	0.00162157
Algerian43A24	Eurasia-SW	F	Affy Human Origins	Algerian	0.00247349	-0.00956478	0.00107755	-0.0053925	-0.00377322	2	28	0.00984158	0.0309884	-0.0390443	0.00730151	-0.00182297	-0.0125763	-0.00832991	-0.0109493	0.00262666	-0.00440841	-0.00443225	0.000442813	0.000751771	0.00708075	0.00456141
Algerian43A34	Eurasia-SW	M	Affy Human Origins	Algerian	0.000410312	-0.0104158	1.44E-05	-0.0061358	-0.0045423	2	28	0.00971265	0.0248518	-0.0339116	0.00509286	0.000562411	-0.00610444	-0.00641729	-0.00794469	0.00620464	-0.000209619	-0.0010727	0.000262587	0.00308388	-0.00300639	0.0014071
altai280p	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00647693	0.0151376	-0.0023645	-0.00532431	6.87E-05	89	49	-0.000196779	-0.0033127	0.00840915	-0.00363611	-0.00229791	-0.0284778	-0.00829674	-0.0105331	-0.00152098	0.000197275	-0.000205506	0.000349202	0.00120269	-4.14E-07	-0.00025308
altai283p	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00650172	0.0147769	-0.00137424	-0.00630919	-6.79E-05	89	49	-0.00121875	-0.00344572	0.00831922	-0.00283735	-0.00208153	-0.0233069	-0.00535107	-0.00599036	-0.0010273	-0.000149834	0.000161914	6.26E-05	-7.29E-05	9.69E-07	0.000174917
altai363p	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00637385	0.0156937	-0.000118746	-0.00639413	-0.000445031	89	49	-0.000402175	-0.00132024	0.00604603	-0.00287466	-0.0020182	-0.0270739	-0.00260733	-0.00209298	-0.000835529	0.000696197	0.000763413	0.00033752	0.00011279	0.000159484	-2.52E-05
altai380k	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00638425	0.0151687	-0.00128811	-0.0052492	-0.000435224	89	49	-0.000453083	-0.004132	0.00967123	-0.00330731	-0.00272917	-0.028895	-0.00469983	-0.00587176	-0.000738725	7.25E-05	0.000207744	-0.00031947	-7.34E-05	-0.000172658	0.000263122
altai409k	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00662606	0.0154993	-0.00159413	-0.00608464	-0.000104048	89	49	-0.00102007	-0.00413831	0.0110612	-0.00451027	-0.00251739	-0.0317867	-0.00693469	-0.00978399	-0.00163531	0.000229796	-0.000825478	0.00016989	7.30E-05	-0.00117115	-0.000409319
altai419A	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00648509	0.0141405	-0.000775558	-0.00511129	-0.00023287	89	49	-0.000420793	-0.00257884	0.00843557	-0.00341912	-0.00223455	-0.0290274	-0.00575112	-0.00726228	-0.00110756	0.000283237	0.000343284	0.000424586	0.000706404	9.06E-05	0.000274016
altai431k	Eurasia-NC	M	Affy Human Origins	Altaian	-0.00651297	0.0142389	-0.00128413	-0.00429461	9.47E-05	89	49	-0.00094785	-0.00226364	0.00658557	-0.0030335	-0.00223622	-0.0274551	-0.00264256	-0.00366756	-0.00175974	0.000833583	0.00015034	0.00121304	0.000267347	-0.00019092	-0.000360872
armenia102	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00583275	-0.0101961	0.00605584	0.00391743	-0.000563963	44.5	40	0.00136019	0.00948229	-0.0189845	0.00445763	-0.000306668	-0.0101896	0.000509189	-0.000440917	-0.00500546	0.000624203	0.000167163	0.000630127	5.18E-05	-0.000952138	-0.00160715
armenia106	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00605087	-0.0102475	0.00707882	0.00258812	-0.000601564	44.5	40	0.00118478	0.00960444	-0.0189032	0.00461121	0.000448993	-0.00931333	0.000629896	0.000857844	-0.0048891	0.000883807	0.000738923	0.00135197	-0.000457026	-0.00181572	-0.00167385
armenia139	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00565995	-0.0107038	0.00684628	0.00378673	-0.00184745	44.5	40	0.0027258	0.0110791	-0.0226975	0.00449422	0.000905167	-0.00910219	-0.000472917	-0.000369621	-0.00500041	0.00117952	0.000777073	-1.87E-05	0.000419722	0.00036643	-0.00169679
armenia162	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00600811	-0.0109475	0.00636725	0.00334484	-0.000402203	44.5	40	0.00216765	0.0098131	-0.0194898	0.00399473	2.06E-05	-0.00767468	-0.000262982	0.000248102	-0.00499264	0.000579704	0.000168206	0.00079488	-0.000269755	-0.00170721	-0.00131488
armenia176	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00583408	-0.0107626	0.00594731	0.00309662	-0.00098446	44.5	40	0.00183009	0.00914639	-0.0190772	0.00376581	0.000480963	-0.009778	-0.000589733	-0.000431747	-0.00350408	-0.000887613	0.000937588	0.00105426	-0.000452559	-0.00206495	-0.0012511
armenia191	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00610897	-0.010894	0.00714534	0.0034411	-0.000250336	44.5	40	0.00210037	0.00890386	-0.0191204	0.00455744	-0.000333442	-0.00994933	-0.000430541	-4.52E-05	-0.00527246	-0.000474951	0.000569959	0.000430109	0.000794755	-0.000980065	-0.00152376
armenia279	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00571994	-0.0109628	0.00616002	0.00274931	-0.00122995	44.5	40	0.00315055	0.0119794	-0.0232377	0.00572619	0.000843015	-0.00791567	-0.000556719	-0.000600272	-0.00592007	-0.000691415	0.000722392	-0.00167821	0.000469387	-0.0015808	-0.00215095
armenia293	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00593104	-0.0101627	0.00554897	0.00330421	-0.000709774	44.5	40	0.00163037	0.00883886	-0.0199898	0.0042434	-0.000197337	-0.00792634	0.000519593	-0.0001259	-0.00503945	0.000426281	0.000538117	0.0019914	0.000355819	-0.0018128	-0.000935667
armenia86	Eurasia-SW	M	Affy Human Origins	Armenian	-0.00597646	-0.0107279	0.00549535	0.00401672	-0.00022868	44.5	40	0.0015796	0.00982826	-0.0181317	0.00348394	-0.000227074	-0.00938712	-0.00066903	4.51E-06	-0.00530372	-0.000621372	-0.00015413	0.000449831	-0.00035601	-0.0013557	-0.00184639
armenia91	Eurasia-SW	M	Affy Human Origins	Armenian	-0.0058018	-0.0100735	0.00613656	0.00374788	-0.000382166	44.5	40	0.00227843	0.0101496	-0.0196898	0.00351651	0.0006597	-0.00949475	0.000167577	-4.89E-05	-0.00553973	0.000357611	0.000136555	0.00229091	0.000459272	-0.00133348	-0.00109882
AshkenaziJew5704	Eurasia-SW	F	Affy Human Origins	Ashkenazi_Jew	-0.00567583	-0.0116342	0.00257164	-0.00310922	-0.00196506	24	50	0.0026764	0.0112761	-0.0177483	0.00301145	0.000718619	-0.00784233	-0.0017342	-0.0023812	-0.00419236	0.000826594	-0.00132705	0.000563791	-0.000813492	-0.00128884	-0.00116586
AshkenaziJew5728	Eurasia-SW	F	Affy Human Origins	Ashkenazi_Jew	-0.00556475	-0.0115363	0.00243415	-0.00461765	-0.00173027	24	50	0.00258533	0.00872973	-0.0164625	0.00296405	-0.000738387	-0.00478053	0.000170054	-0.00182905	-0.00280037	-0.000280049	-0.000147623	-0.000269342	0.00144522	-0.000196735	8.70E-05
AshkenaziJew5779	Eurasia-SW	F	Affy Human Origins	Ashkenazi_Jew	-0.00558316	-0.0110402	0.00272964	-0.00294114	-0.00281556	24	50	0.00242873	0.00995833	-0.0173151	0.00348615	0.000558229	-0.00397265	0.00101981	-0.000244594	-0.00137843	-0.000418295	0.000178763	-3.03E-05	-0.000564087	9.11E-05	-0.000172697
AshkenaziJew5782	Eurasia-SW	M	Affy Human Origins	Ashkenazi_Jew	-0.00553065	-0.0108695	0.00198508	-0.00368961	-0.00195354	24	50	0.00259099	0.0110108	-0.0173302	0.00350445	-0.00054681	-0.00699672	-0.000828957	-0.000445732	-0.00334702	-0.00149723	-0.000329927	-0.00026067	-0.000430198	-0.00235902	-0.000876997
AshkenaziJew5783	Eurasia-SW	M	Affy Human Origins	Ashkenazi_Jew	-0.00548482	-0.0112808	0.00246141	-0.00374693	-0.00162261	24	50	0.00255765	0.00890583	-0.0150561	0.00245475	0.00112521	-0.00606324	-0.00117017	-0.00142114	-0.00345529	-0.000949811	-0.000664882	0.00127785	0.000312281	-0.00163613	0.000277051
AshkenaziJew5788	Eurasia-SW	M	Affy Human Origins	Ashkenazi_Jew	-0.00554443	-0.0114544	0.0033118	-0.00311277	-0.00135929	24	50	0.00309928	0.00997615	-0.0177895	0.0033713	0.000896287	-0.0056173	-0.00123189	-0.00270586	-0.00283443	-0.000359444	-0.000329113	-6.42E-05	0.001066	-0.00118654	-8.63E-05
AshkenaziJew5790	Eurasia-SW	M	Affy Human Origins	Ashkenazi_Jew	-0.00537479	-0.011043	0.00274993	-0.0030201	-0.00197126	24	50	0.00270892	0.0102169	-0.0164473	0.00408492	0.00122288	-0.00610501	0.00100574	-0.00130397	-0.00250769	0.000824807	0.00103501	9.49E-07	0.000829465	-6.78E-05	0.000192777
Aydin18112	Eurasia-SW	M	Affy Human Origins	Turkish_Aydin	-0.00575388	-0.00651753	0.00384037	-0.000682078	-0.00135919	28	38	0.000561734	0.00479241	-0.00978142	0.00226336	-0.000205721	-0.00870895	-0.00129231	-0.003325	-0.00446725	0.000791856	0.00138329	0.000294685	-0.000673091	-0.0013629	-0.000665885
